Created,Manager's Name,Service Date,Route,Block 1st,Block 2nd,Start Time for Missing Block,End Time for Missing Block,Reason for Missing Block,Missing Block Duration,Missing Block Duration Minutes
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,NMS,0.0,851.0,16:10:00,19:57:00,Vehicle Availability,03:47:00,227.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,NMS,0.0,807.0,15:30:00,18:00:00,Vehicle Availability,02:30:00,150.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,NMS,802.0,0.0,14:10:00,15:15:00,Absenteeism,01:05:00,65.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,NMS,0.0,804.0,15:50:00,20:57:00,Absenteeism,05:07:00,307.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,NMS,805.0,0.0,13:30:00,14:35:00,Manpower,01:05:00,65.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,NMS,0.0,802.0,15:20:00,20:27:00,Manpower,05:07:00,307.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,NMS,0.0,852.0,12:30:00,16:00:00,Vehicle Availability,03:30:00,210.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,EM-LP,0.0,552.0,17:00:00,21:12:00,Vehicle Availability,04:12:00,252.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,EM-LP,0.0,551.0,13:50:00,16:52:00,Vehicle Availability,03:02:00,182.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,EM-LP,551.0,0.0,06:20:00,09:43:00,Absenteeism,03:23:00,203.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,CH-US,751.0,0.0,13:10:00,16:28:00,Absenteeism,03:18:00,198.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,CH-US,0.0,701.0,17:10:00,21:15:00,Vehicle Availability,04:05:00,245.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,CH-US,707.0,0.0,15:40:00,17:16:00,Vehicle Availability,01:36:00,96.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,WP-AM,251.0,0.0,06:30:00,10:57:00,Vehicle Availability,04:27:00,267.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,WP-AM,252.0,0.0,11:10:00,15:38:00,Vehicle Availability,04:28:00,268.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,WP-AM,0.0,205.0,13:10:00,17:38:00,Vehicle Availability,04:28:00,268.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,GT-US,0.0,105.0,15:10:00,17:13:00,Vehicle Availability,02:03:00,123.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,GT-US,105.0,0.0,13:10:00,14:59:00,Vehicle Availability,01:49:00,109.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,GT-US,152.0,0.0,13:30:00,15:22:00,Vehicle Availability,01:52:00,112.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,GT-US,151.0,0.0,17:00:00,23:58:00,Vehicle Availability,06:58:00,418.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,CH-US,752.0,0.0,16:40:00,21:09:00,Vehicle Availability,04:29:00,269.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,GT-US,112.0,0.0,15:40:00,17:36:00,Vehicle Availability,01:56:00,116.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,GT-US,0.0,113.0,17:40:00,21:28:00,Vehicle Availability,03:48:00,228.0
2023-08-24 15:42:02,"Lauren, Leak",2023-08-23,RS-DP,0.0,604.0,16:20:00,20:12:00,Vehicle Availability,03:52:00,232.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,CH-US,709.0,0.0,07:50:00,11:48:00,Vehicle Availability,03:58:00,238.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,CH-US,752.0,0.0,09:50:00,12:58:00,Vehicle Availability,03:08:00,188.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,CH-US,0.0,751.0,13:10:00,16:28:00,Vehicle Availability,03:18:00,198.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,CH-US,0.0,701.0,19:10:00,21:15:00,Vehicle Availability,02:05:00,125.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,CH-US,707.0,0.0,15:40:00,17:16:00,Vehicle Availability,01:36:00,96.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,CH-US,0.0,752.0,16:40:00,21:09:00,Vehicle Availability,04:29:00,269.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,WP-AM,252.0,0.0,11:10:00,15:38:00,Vehicle Availability,04:28:00,268.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,WP-AM,203.0,0.0,15:20:00,19:48:00,Absenteeism,04:28:00,268.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,110.0,0.0,06:40:00,10:19:00,Vehicle Availability,03:39:00,219.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,110.0,0.0,10:30:00,14:19:00,Vehicle Availability,03:49:00,229.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,111.0,0.0,08:50:00,12:39:00,Vehicle Availability,03:49:00,229.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,0.0,105.0,15:10:00,17:13:00,Vehicle Availability,02:03:00,123.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,105.0,0.0,13:10:00,14:59:00,Absenteeism,01:49:00,109.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,0.0,108.0,16:20:00,20:23:00,Absenteeism,04:03:00,243.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,0.0,111.0,12:50:00,14:39:00,Vehicle Availability,01:49:00,109.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,0.0,108.0,14:20:00,16:13:00,Manpower,01:53:00,113.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,GT-US,151.0,0.0,17:30:00,19:23:00,Vehicle Availability,01:53:00,113.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,EM-LP,552.0,0.0,09:50:00,13:42:00,Vehicle Availability,03:52:00,232.0
2023-08-23 17:26:01,"Lauren, Leak",2023-08-22,EM-LP,0.0,506.0,15:40:00,17:12:00,Vehicle Availability,01:32:00,92.0
